m=82, n=12, q=23, M0=9986, M1=9987 
m=6, n=12, q=23, M0=9976, M1=9990 
m=355, n=12, q=23, M0=9981, M1=9984 
m=154, n=12, q=23, M0=9980, M1=9987 
m=5, n=12, q=23, M0=9980, M1=9986 
m=289, n=12, q=23, M0=9985, M1=9987 
m=222, n=12, q=23, M0=9975, M1=9988 
m=81, n=12, q=23, M0=9987, M1=9992 
m=485, n=12, q=23, M0=9984, M1=9991 
m=4, n=12, q=23, M0=9980, M1=9984 
m=153, n=12, q=23, M0=9985, M1=9990 
m=420, n=12, q=23, M0=9979, M1=9994 
m=80, n=12, q=23, M0=9978, M1=9985 
m=3, n=12, q=23, M0=9977, M1=9990 
m=221, n=12, q=23, M0=9981, M1=9994 
m=354, n=12, q=23, M0=9980, M1=9989 
m=288, n=12, q=23, M0=9974, M1=9985 
m=2, n=12, q=23, M0=9972, M1=9991 
m=79, n=12, q=23, M0=9983, M1=9991 
m=152, n=12, q=23, M0=9986, M1=9989 
m=1, n=12, q=23, M0=9980, M1=9986 
m=220, n=12, q=23, M0=9980, M1=9990 
m=484, n=12, q=23, M0=9986, M1=9986 
m=78, n=12, q=23, M0=9981, M1=9988 
m=419, n=12, q=23, M0=9990, M1=9993 
m=151, n=12, q=23, M0=9980, M1=9989 
m=353, n=12, q=23, M0=9985, M1=9987 
m=287, n=12, q=23, M0=9983, M1=9984 
m=77, n=12, q=23, M0=9973, M1=9983 
m=219, n=12, q=23, M0=9983, M1=9985 
m=150, n=12, q=23, M0=9977, M1=9987 
m=76, n=12, q=23, M0=9972, M1=9986 
m=286, n=12, q=23, M0=9981, M1=9992 
m=483, n=12, q=23, M0=9974, M1=9990 
m=352, n=12, q=23, M0=9985, M1=9991 
m=418, n=12, q=23, M0=9987, M1=9984 
m=218, n=12, q=23, M0=9984, M1=9984 
m=149, n=12, q=23, M0=9982, M1=9986 
m=75, n=12, q=23, M0=9980, M1=9987 
m=74, n=12, q=23, M0=9971, M1=9990 
m=285, n=12, q=23, M0=9976, M1=9992 
m=148, n=12, q=23, M0=9982, M1=9987 
m=1098, n=12, q=23, M0=9975, M1=9990 
m=351, n=12, q=23, M0=9982, M1=9986 
m=217, n=12, q=23, M0=9975, M1=9992 
m=417, n=12, q=23, M0=9978, M1=9990 
m=482, n=12, q=23, M0=9976, M1=9992 
m=73, n=12, q=23, M0=9982, M1=9989 
m=147, n=12, q=23, M0=9983, M1=9990 
m=284, n=12, q=23, M0=9979, M1=9992 
m=72, n=12, q=23, M0=9983, M1=9992 
m=216, n=12, q=23, M0=9984, M1=9990 
m=350, n=12, q=23, M0=9987, M1=9994 
m=146, n=12, q=23, M0=9979, M1=9993 
m=71, n=12, q=23, M0=9982, M1=9979 
m=416, n=12, q=23, M0=9982, M1=9996 
m=481, n=12, q=23, M0=9974, M1=9992 
m=215, n=12, q=23, M0=9970, M1=9995 
m=283, n=12, q=23, M0=9979, M1=9988 
m=70, n=12, q=23, M0=9980, M1=9987 
m=145, n=12, q=23, M0=9984, M1=9990 
m=349, n=12, q=23, M0=9983, M1=9984 
m=69, n=12, q=23, M0=9976, M1=9994 
m=1097, n=12, q=23, M0=9978, M1=9988 
m=214, n=12, q=23, M0=9979, M1=9994 
m=144, n=12, q=23, M0=9974, M1=9988 
m=282, n=12, q=23, M0=9986, M1=9991 
m=415, n=12, q=23, M0=9981, M1=9996 
m=68, n=12, q=23, M0=9973, M1=9986 
m=480, n=12, q=23, M0=9981, M1=9984 
m=348, n=12, q=23, M0=9984, M1=9987 
m=143, n=12, q=23, M0=9979, M1=9993 
m=213, n=12, q=23, M0=9986, M1=9986 
m=67, n=12, q=23, M0=9984, M1=9990 
m=281, n=12, q=23, M0=9990, M1=9986 
m=66, n=12, q=23, M0=9980, M1=9981 
m=414, n=12, q=23, M0=9980, M1=9990 
m=142, n=12, q=23, M0=9979, M1=9984 
m=212, n=12, q=23, M0=9975, M1=9987 
m=479, n=12, q=23, M0=9985, M1=9990 
m=347, n=12, q=23, M0=9978, M1=9986 
m=65, n=12, q=23, M0=9984, M1=9986 
m=280, n=12, q=23, M0=9984, M1=9995 
m=141, n=12, q=23, M0=9963, M1=9990 
m=1096, n=12, q=23, M0=9981, M1=9991 
m=211, n=12, q=23, M0=9979, M1=9989 
m=64, n=12, q=23, M0=9983, M1=9988 
m=413, n=12, q=23, M0=9976, M1=9977 
m=140, n=12, q=23, M0=9985, M1=9986 
m=346, n=12, q=23, M0=9975, M1=9986 
m=478, n=12, q=23, M0=9980, M1=9984 
m=279, n=12, q=23, M0=9975, M1=9991 
m=210, n=12, q=23, M0=9973, M1=9990 
m=139, n=12, q=23, M0=9975, M1=9991 
m=278, n=12, q=23, M0=9978, M1=9989 
m=412, n=12, q=23, M0=9979, M1=9988 
m=345, n=12, q=23, M0=9983, M1=9987 
m=138, n=12, q=23, M0=9987, M1=9989 
m=209, n=12, q=23, M0=9983, M1=9989 
m=477, n=12, q=23, M0=9971, M1=9990 
m=137, n=12, q=23, M0=9985, M1=9991 
m=277, n=12, q=23, M0=9985, M1=9993 
m=208, n=12, q=23, M0=9987, M1=9984 
m=1095, n=12, q=23, M0=9982, M1=9991 
m=344, n=12, q=23, M0=9983, M1=9991 
m=411, n=12, q=23, M0=9983, M1=9990 
m=136, n=12, q=23, M0=9982, M1=9987 
m=476, n=12, q=23, M0=9974, M1=9992 
m=207, n=12, q=23, M0=9977, M1=9990 
m=276, n=12, q=23, M0=9980, M1=9985 
m=135, n=12, q=23, M0=9988, M1=9991 
m=1692, n=12, q=23, M0=9979, M1=9991 
m=343, n=12, q=23, M0=9982, M1=9989 
m=410, n=12, q=23, M0=9974, M1=9986 
m=206, n=12, q=23, M0=9976, M1=9997 
m=275, n=12, q=23, M0=9975, M1=9992 
m=134, n=12, q=23, M0=9975, M1=9984 
m=475, n=12, q=23, M0=9974, M1=9983 
m=342, n=12, q=23, M0=9978, M1=9989 
m=205, n=12, q=23, M0=9974, M1=9990 
m=133, n=12, q=23, M0=9977, M1=9992 
m=1094, n=12, q=23, M0=9978, M1=9989 
m=409, n=12, q=23, M0=9971, M1=9993 
m=274, n=12, q=23, M0=9976, M1=9985 
m=132, n=12, q=23, M0=9977, M1=9985 
m=204, n=12, q=23, M0=9985, M1=9990 
m=474, n=12, q=23, M0=9983, M1=9993 
m=341, n=12, q=23, M0=9990, M1=9998 
m=273, n=12, q=23, M0=9976, M1=9989 
m=131, n=12, q=23, M0=9978, M1=9986 
m=408, n=12, q=23, M0=9977, M1=9989 
m=203, n=12, q=23, M0=9978, M1=9989 
m=130, n=12, q=23, M0=9973, M1=9985 
m=340, n=12, q=23, M0=9977, M1=9988 
m=272, n=12, q=23, M0=9986, M1=9992 
m=473, n=12, q=23, M0=9981, M1=9987 
m=202, n=12, q=23, M0=9979, M1=9988 
m=1691, n=12, q=23, M0=9985, M1=9985 
m=1093, n=12, q=23, M0=9985, M1=9990 
m=129, n=12, q=23, M0=9986, M1=9989 
m=407, n=12, q=23, M0=9985, M1=9984 
